,Z1_1,Z1_2,Z1_3,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9
63,-33.76459354593119,-26.345649622169343,-273.7739392428419,-823.9246421890634,-6227.65947739571,-3629.190244503534,-4694.692167808309,-8206.882080475445,-1345.5862474041921,-3010.002013739879,-2149.9580917557414,-510.26837237557885,-688.2645984165595,-88.28926678802212,-1781.940632172682,-251.3696612198584,-1732.949278123573,-3783.444223558375,-5933.69481966255
64,-36.538337871016815,-28.50993144687955,-296.2643302288361,-891.6096358633175,-6739.258561521917,-3927.3263921119465,-5080.3587608554935,-8881.073302898994,-1456.1254787612475,-3257.272160580234,-2326.576064309361,-552.1866617286576,-744.8051879373038,-95.54218551148054,-1928.3261560915407,-272.01955206953807,-1875.3101870241253,-4094.2522577228387,-6421.144855465284
65,-38.253389749329024,-29.84814260610441,-310.17051002906504,-933.4603841405568,-7055.588715760759,-4111.6688909227505,-5318.822778186082,-9297.936858743644,-1524.4737092205396,-3410.1633719127685,-2435.7818706384746,-578.105431616871,-779.7651672625208,-100.02678481914353,-2018.838740645276,-284.78772027032994,-1963.3342857126693,-4286.429993056045,-6722.543254707084
66,-37.31685412333713,-29.117387786636595,-302.57678474934954,-910.6070132124282,-6882.850816245013,-4011.005278524866,-5188.605115052173,-9070.30084600077,-1487.1509007340564,-3326.6743135789275,-2376.1480312860267,-563.9520105517977,-760.6746274741698,-97.5778868744014,-1969.4126788992048,-277.81542715785224,-1915.2671074482,-4181.4878056283915,-6557.95911467241
67,-35.34964367001716,-27.582423734256267,-286.6260239503938,-862.6030836920752,-6520.0116543583335,-3799.559493567842,-4915.080498353656,-8592.147179026708,-1408.7536492423044,-3151.3039979881787,-2250.886045633857,-534.2224870860317,-720.5745945561576,-92.43393131915131,-1865.5923194437555,-263.1699961525441,-1814.3011079505152,-3961.054794462053,-6212.24707581218
68,-33.084699314058355,-25.81514552506865,-268.2611430684972,-807.3338423928152,-6102.257412330428,-3556.1117544500244,-4600.158403586643,-8041.625780837619,-1318.4911092129676,-2949.391688184399,-2106.6658749143153,-499.9934516183258,-674.4054909515419,-86.51144697971311,-1746.0589279932447,-246.30800447286626,-1698.0540789048514,-3707.259627978667,-5814.212117283966
69,-30.377076570863657,-23.70245668123033,-246.30688665550244,-741.2623495778664,-5602.854023542988,-3265.082690764398,-4223.685478818159,-7383.506187554671,-1210.5869544822012,-2708.0160620161982,-1934.258189383185,-459.0744265366942,-619.2127377062416,-79.43142611673314,-1603.1629983819462,-226.15037364748198,-1559.086823994252,-3403.860755032669,-5338.382102536731
70,-27.151688220319638,-21.185768563446093,-220.1544239251221,-662.5563246103902,-5007.952139051988,-2918.401546191869,-3775.221456680868,-6599.537566085993,-1082.0488098981177,-2420.483341771131,-1728.881815642047,-410.3306541091545,-553.4657410837357,-70.99752709204091,-1432.9417709724607,-202.13809653015744,-1393.545532755549,-3042.444382375971,-4771.56141443965
71,-24.214694565932685,-18.8941074582782,-196.34035605550773,-590.8877158202234,-4466.242778863403,-2602.7185303673114,-3366.856371894745,-5885.666671716435,-965.0037678874547,-2158.6600563221255,-1541.8689536600186,-365.94525466216385,-493.5974427925449,-63.31773624977425,-1277.9406950061211,-180.27285183518347,-1242.8059414052268,-2713.343673338797,-4255.4224000987615
72,-23.71822234936181,-18.506722873087643,-192.31480324468131,-578.7727856393368,-4374.6717104723275,-2549.355171421644,-3297.8259473614507,-5764.993252914967,-945.2183620324344,-2114.401197715953,-1510.2561205928455,-358.44230428502686,-483.47724838539773,-62.01953706008048,-1251.739164866301,-176.5767299578468,-1217.3247767010064,-2657.712174698451,-4168.173767427807
73,-23.184766875123113,-18.090481196900953,-187.9893785540416,-565.7553888761267,-4276.279320959571,-2492.016663841198,-3223.6533015875275,-5635.330617814519,-923.9590997593198,-2066.8454038185755,-1476.2883812249577,-350.3804433831823,-472.60317945130686,-60.62463228740727,-1223.5858277408965,-172.60527620251457,-1189.9454665447793,-2597.936568935911,-4074.42580094615
74,-22.483205684212564,-17.543070925277277,-182.3008998642508,-548.635871284174,-4146.880926348255,-2416.609298829939,-3126.106922901654,-5464.807908627795,-896.0004901312321,-2004.3035404157224,-1431.6165223083651,-339.77808009630263,-458.30240812201964,-58.7901566830093,-1186.560640681015,-167.38231391083798,-1153.938222515791,-2519.3241126179496,-3951.135408052205
